"question_id","question","answer1","answer2","answer3","answer4","correct_answer","topic_id","active","elo_rating","created_at"
"1","hi","d","d","dd","d","2","1","true","862","2025-05-04 12:35:10.526983"
"2","Koja je glavni grad Francuske?","Berlin","Pariz","Rim","Amsterdam","2","2","true","779","2025-05-05 18:17:57.21693"
"3","Koji je najduži planinski lanac u Europi?","Alpe","Karpati","Pirineji","Kavkaz","1","2","true","792","2025-05-05 18:18:00.529959"
"4","Koja je država u Europi koja ima najviše stanovnika?","Njemačka","Rusija","Francuska","Italija","2","2","true","814","2025-05-05 18:18:03.18595"
"5","Koji je najveći otok u Mediteranu?","Sicilija","Sardinija","Kreta","Korzika","1","2","true","829","2025-05-05 18:18:05.465767"
"6","Koji je grad u Europi koji se naziva ""Grad na vodi""?","Amsterdam","Venecija ","Pariz","Rim","2","2","true","781","2025-05-05 18:18:21.362099"
"7","Koja je država u Europi koja ima najdužu obalu na Mediteranu?","Italija","Grčka","Španjolska","Francuska","1","2","true","807","2025-05-05 18:18:43.381766"
"8","Koji je najviši vrh u Alpama?","Mont Blanc","Matterhorn","Eiger","Jungfrau","1","2","true","780","2025-05-05 18:18:45.472104"
"9","Koji je najveći rijeka u Europi?","Dunav","Rajna","Volga","Loire","3","2","true","789","2025-05-05 18:18:47.2997"
"10","Koja je država u Europi koja ima najviše jezera?","Finska","Švedska","Norveška","Danska","1","2","true","774","2025-05-05 18:18:52.116809"
"11","Koji je najveći poluotok u Europi?","Apenninski","Iberski","Balkanski","Skandinavski","2","2","true","836","2025-05-05 18:19:00.137364"
"12","Koji je najširi vodeni tok koji dijeli Europu od Afrike?","Sredozemno more","Crno more","Baltičko more","Gibraltarski tjesnac","4","2","true","863","2025-05-05 18:19:13.158022"
"13","Koji je najveći grad u Skandinaviji?","Stockholm","Oslo","Kopenhagen","Helsinki","1","2","true","813","2025-05-05 18:19:16.474681"
"14","Koji je najveći grad u Europi?","Berlin","London","Paris","Istanbul","4","2","true","780","2025-05-05 18:19:32.730935"
"15","Koji je poluotok u Europi gdje se nalaze zemlje kao što su Španjolska i Portugal?","Apeninski","Balkanski","Iberski","Skandinavski","3","2","true","792","2025-05-05 18:19:37.195653"
"16","Koji je europski planinski lanac koji se nalazi u Švicarskoj?","Alpe","Karpati","Pireneji","Apennini","1","2","true","815","2025-05-05 18:19:51.458808"
"17","Koji je europski grad koji se naziva ""Mletačka republika""?","Rim","Venecija","Firenca","Milano","2","2","true","781","2025-05-05 18:19:56.548396"
"18","Koji je najveći zaljev u Europi?","Baskijski zaljev","Crno more","Mediteran","Sredozemno more","1","2","true","781","2025-05-05 18:20:22.4527"
"19","Koja je država u Europi koja ima najviše autonomnih pokrajina?","Francuska","Španjolska","Italija","Njemačka","2","2","true","786","2025-05-05 18:20:28.716962"
"20","Koji je europski grad koji se naziva ""Grad sjevernog sjaja""?","Stockholm","Helsinki","Oslo","Kopenhagen","1","2","true","785","2025-05-05 18:20:34.944955"
"21","Koji je najveći otok u Baltičkom moru?","Gotland","Öland","Rügen","Sjælland","1","2","true","788","2025-05-05 18:20:43.198503"
"22","Koja je europska zemlja koja ima najviše različitih jezika?","Francuska","Španjolska","Italija","Švicarska","4","2","true","784","2025-05-05 18:20:47.372756"
"23","Koja je država u Europi koja ima najviše otočja?","Grčka","Italija","Španjolska","Danska","1","2","true","784","2025-05-05 18:21:02.912268"
"24","Koja je planina u Europi koja se nalazi na granici Francuske i Španjolske?","Alpe","Pireneji","Karpati","Apennini","2","2","true","786","2025-05-05 18:21:17.288209"
"25","Koji je europski grad koji je glavni grad Danske?","Oslo","Stockholm","Kopenhagen","Helsinki","3","2","true","785","2025-05-05 18:21:18.755462"
"26","Koja je europska zemlja koja ima najdužu granicu s Rusijom?","BiH","Srbija","Ukrajina","Norveška","3","2","true","799","2025-05-05 18:21:23.080192"
"27","Koji je najveći kontinent na Zemlji?","Afrika","Azija","Europa","Amerika","2","3","true","784","2025-05-07 11:57:58.041134"
"28","Koliko ima oceana na Zemlji?","3","4","5","6","3","3","true","787","2025-05-07 11:58:20.859802"
"29","Koji planet je najbliži Zemlji u sunčevom sustavu?","Mars","Venera","Jupiter","Merkur","4","3","true","835","2025-05-07 11:58:24.710634"
"30","Koji je najveći oceanskii bazen na Zemlji?","Tihi ocean","Atlantski ocean","Indijski ocean","Arktički ocean","1","3","true","784","2025-05-07 11:58:27.586134"
"31","Koji je kontinent koji se nalazi oko Južnog pola?","Afrika","Antarktika","Amerika","Azija","2","3","true","799","2025-05-07 11:58:31.153018"
"32","Koji je zemlja planet po redu udaljen od Sunca","1","2","3","4","3","3","true","829","2025-05-07 11:59:39.030939"
"33","Koliko ima planeta u Sunčevom sustavu?","2","5","7","8","3","3","true","784","2025-05-07 12:00:11.34673"
"34","Koji je najudaljeniji planet sunčevog sustava?","Jupiter","Uran","Neptun","Saturn ","3","3","true","784","2025-05-07 12:00:45.562476"
"35","Koji je najmanji kontinent na Zemlji?","Afrika","Antarktika","Australija","Europa","3","3","true","785","2025-05-07 12:00:54.14607"
"36","Koji dio Zemlje čini oko 71% površine?","Kontinenti","Oceani","Pustinje","Planine","2","3","true","786","2025-05-07 12:00:57.976989"
"37","Koji je planet u Sunčevom sustavu koji ima najviše vode?","Zemlja","Mars","Jupiter","Saturn","1","3","true","781","2025-05-07 12:01:00.118928"
"38","Koliko postoji vrsta zemljina magnetskog pola?","1","2","3","4","2","3","true","822","2025-05-07 12:01:02.98988"
"39","Koji je najveći gorski lanac na Zemlji?","Himalaja","Alpe","Karpati","Ande","1","3","true","790","2025-05-07 12:01:08.460025"
"40","Koji je naj topliji planet u Sunčevom sustavu?","Zemlja","Mars","Venera","Jupiter","3","3","true","784","2025-05-07 12:01:41.399629"
"41","Koji kontinent se nalazi između Atlantskog i Tiheg oceana?","Afrika","Azija","Europa","Amerika","3","3","true","786","2025-05-07 12:01:44.849811"
"42","Koliko postoji vrsta zemljine atmosfere?","3","4","5","2","3","3","true","816","2025-05-07 12:01:48.529494"
"43","Koji dio Zemlje čini oko 29% površine?","Kontinenti","Oceani","Polarni krajevi","Planine","1","3","true","786","2025-05-07 12:01:49.959676"
"44","Koji planet u Sunčevom sustavu ima najmanje mjeseca?","Zemlja","Mars","Venera","Merkur","4","3","true","851","2025-05-07 12:01:53.447191"
"45","Koje je glavno mjesto Španjolske?","Barcelona","Madrid","Valencia","Sevilla","2","4","true","768","2025-05-09 13:11:50.784409"
"46","Koji je glavni grad Njemačke?","Berlin","München","Hamburg","Frankfurt","1","4","true","789","2025-05-09 13:11:52.338971"
"47","Koje je glavno mjesto Italije?","Rim","Milano","Venecija","Torino","1","4","true","788","2025-05-09 13:11:56.286793"
"48","Glavni grad Francuske je?","Pariz","Lyon","Marseille","Bordeaux","1","4","true","788","2025-05-09 13:11:56.75582"
"49","Koje je glavno mjesto Grčke?","Atena","Solun","Pirej","Heraklion","1","4","true","785","2025-05-09 13:11:58.225226"
"50","Koji je glavni grad Danske?","Oslo","Stockholm","Kopenhagen","Helsinki","3","4","true","825","2025-05-09 13:12:12.910979"
"51","Koji je glavni grad Austrije?","Beč","München","Prag","Budimpešta","1","4","true","769","2025-05-09 13:12:13.588191"
"52","Koji je glavni grad Švicarske?","Bern","Ženeva","Zürich","Basel","1","4","true","769","2025-05-09 13:12:14.237237"
"53","Koji je glavni grad Poljske?","Varšava","Krakov","Gdanjsk","Poznan","1","4","true","786","2025-05-09 13:12:14.871385"
"54","Koji je glavni grad Portugala?","Lisabon","Porto","Madrid","Barcelona","1","4","true","787","2025-05-09 13:12:15.561334"
"55","Koji je glavni grad Belgije?","Amsterdam","Bruxelles","Berlin","Pariz","2","4","true","800","2025-05-09 16:21:29.855171"
"56","Koji je glavni grad Irske?","Dublin","Belfast","London","Edinburgh","1","4","true","800","2025-05-09 16:21:30.975453"
"57","Koji je glavni grad Švedske?","Oslo","Stockholm","Helsinki","Kopenhagen","2","4","true","800","2025-05-09 16:21:31.932727"
"58","Koji je glavni grad Češke?","Prag","Budimpešta","Varšava","Beč","1","4","true","800","2025-05-09 16:21:32.927909"
"59","Koji je glavni grad Slovenije?","Ljubljana","Zagreb","Beograd","Sarajevo","1","4","true","787","2025-05-09 16:21:34.008529"
"60","Koji je sisavac?","ptica","riba","mačak","zmija","3","5","true","784","2025-05-09 16:57:11.247604"
"61","Kojim se sisavcem hrani biljem?","mačkom","mišem","kornjačom","zečevom","4","5","true","785","2025-05-09 16:57:35.831926"
"62","Koji ove životinje spada u skupinu sisavaca?","ptica","gmaz","riba","miš","4","5","true","785","2025-05-09 16:57:47.032358"
"63","Sisavac","Dabar","Gh","Gg","Jj","1","5","true","786","2025-05-09 16:58:00.985835"
"64","Koji od ponudenih životinja nije sisavac?","pas","zmija","medvjed","ptica","4","5","true","815","2025-05-09 16:58:31.15328"
"65","Koji je glavni grad Mađarske?","Beč","Budimpešta","Prag","Zagreb","2","4","true","800","2025-05-09 18:47:34.747197"
"66","Koji je glavni grad Rumunjske?","Bukurešt","Sofija","Beograd","Istanbul","1","4","true","800","2025-05-09 18:47:35.989459"
"67","Koji je glavni grad Norveške?","Oslo","Stockholm","Kopenhagen","Helsinki","1","4","true","800","2025-05-09 18:47:37.875985"
"68","Koji je glavni grad Luksemburga?","Luxemburg","Bruxelles","Amsterdam","Bern","1","4","true","800","2025-05-09 18:47:39.446945"
"69","Koji je glavni grad Hrvatske?","Zagreb","Split","Dubrovnik","Rijeka","1","4","true","800","2025-05-09 18:47:42.197922"
"70","Što se događa s ledom kada se zagrijava?","Postaje čvršći","Ostaje isti","Topi se","Nestaje","3","6","true","786","2025-05-13 13:52:23.47913"
"71","Koji dio biljke služi za upijanje vode i hranjiva iz zemlje?","korijen","stabljika","list","cvijet","1","6","true","789","2025-05-13 13:52:46.081929"
"73","Koji dio biljke služi za izradu hrane iz sunčeve svjetlosti?","Korijen","Stabljika","List","Cvijet","3","6","true","800","2025-05-13 13:54:42.059277"
"74","Što se događa s vodom kada se ohladi ispod 0°C?","Postaje plinovita","Postaje tekuća","Postaje čvrsta","Postaje prozirnija","3","6","true","791","2025-05-13 13:54:49.173233"
"75","Koji organ u ljudskom tijelu služi za disanje?","Srce","Pluća","Jetra","Mozak","2","6","true","792","2025-05-13 13:54:51.766438"
"76","Koji dio biljke služi za razmnožavanje?","Korijen","Stabljika","Cvijet","List","3","6","true","789","2025-05-13 13:55:12.604289"
"77","Koji organ u ljudskom tijelu služi za hranjenje?","Srce","Jetra","Želudac","Pluća","3","6","true","792","2025-05-13 13:55:20.251573"
"78","Koji dio biljke služi za upijanje sunčeve svjetlosti?","Korijen","Stabljika","List","Cvijet","3","6","true","785","2025-05-13 13:55:25.67315"
"79","Koji organ u ljudskom tijelu služi za vid?","srce","pluća","oči","jetra","3","6","true","788","2025-05-13 13:56:23.561091"
"80","Koji organ u ljudskom tijelu služi za čulo sluha?","oči","uši","nos","jetra","2","6","true","800","2025-05-13 13:56:27.307175"
"81","Koji organ u ljudskom tijelu služi za razlaganje hrane?","pluća","jetra","želudac","srce","3","6","true","800","2025-05-13 13:56:29.745748"
"82","Koji organ u ljudskom tijelu služi za čulo mirisa?","oči","uši","nos","jetra","3","6","true","791","2025-05-13 13:56:31.979739"
"83","Koji organ u ljudskom tijelu služi za čistoću krvi?","pluća","jetra","bubreg","srce","3","6","true","800","2025-05-13 13:56:35.165052"
"84","Koji organ u ljudskom tijelu služi za čulo ukusa?","oči","uši","jezik","nos","3","6","true","787","2025-05-13 13:56:48.15625"
"85","Koji je jedan od načina da se zaštiti okoliš?","bacanje smeća na ulicu","razvrstavanje otpada","onesposobljavanje životinja","gradnja velikih zgrada","2","6","true","788","2025-05-13 13:59:49.292897"
"86","Što je važno za očuvanje zdravlja čovjeka?","puno sjediti","spavati 16 sati dnevno","pravilna prehrana","kupati se 3 puta dnevno","3","6","true","785","2025-05-13 14:01:42.869661"
"87","Koji postupak pridonosi održivosti okoliša?","Bacati otpad na ulicu","koristiti mnogo vode","reciklirati papir","koristiti mnogo energije","3","6","true","800","2025-05-13 14:01:49.855895"
"88","Što je važno za zaštitu prirode?","uništavati šumu","bacati otpad u prirodu","štititi životinje","koristiti mnogo kemikalija","3","6","true","790","2025-05-13 14:02:09.336265"
"89","Koji se alat/uređaj koristi za određivanje smjera na Zemlji?","Termometar","Kompas","Sat","Radio","2","6","true","792","2025-05-13 14:04:33.428497"
"90","Koji je najveći ocean na Zemlji?","Atlantski","Tihi","Indijski","Sjeverni ledeni","2","6","true","800","2025-05-13 14:05:50.405198"
"91","Koji dio svijeta se nalazi između Sjeverne i Južne Amerike?","Europa","Afrika","Srednja Amerika","Azija","3","6","true","790","2025-05-13 14:06:01.107463"
"92","Koji kontinent se nalazi oko Sjevernog pola?","Afrika","Azija","Europa","Arktika","4","6","true","791","2025-05-13 14:06:16.691603"
"93","Koji se smjer nalazi lijevo od sjevera na kompasu?","Istok","Jug","Zapad","Sjever","3","6","true","800","2025-05-13 14:08:08.627151"
"94","Koji se smjer nalazi desno od sjevera na kompasu?","Istok","Zapad","Jug","Sjever","1","6","true","800","2025-05-13 14:08:26.217792"
"95","Koji se smjer nalazi iza nas kada stojimo licem prema sjeveru?","istok","zapad","jug","sjever","3","6","true","800","2025-05-13 14:08:36.570944"
"96","Koji se smjer nalazi desno od nas kada stojimo licem prema sjeveru?","istok","zapad","jug","sjever","1","6","true","800","2025-05-13 14:08:43.444697"
"97","Koji se smjer nalazi lijevo od nas kada stojimo licem prema sjeveru?","istok","zapad","jug","sjever","2","6","true","800","2025-05-13 14:08:46.748734"
"98","Koji se smjer nalazi nasuprotno od sjevera na kompasu?","istok","zapad","jug","sjever","3","6","true","800","2025-05-13 14:08:49.291006"
"99","Koji se smjer nalazi na vrhu kompasa?","istok","zapad","jug","sjever","4","6","true","792","2025-05-13 14:08:51.539108"
"100","Koji uređaj koristi energiju Sunca za grijanje vode?","vjetroelektrana","hidroelektrana","sunčani kolektor","more-val","3","6","true","800","2025-05-13 14:10:48.611197"
"101","Koji se uređaj koristi za pretvaranje energije Sunca u električnu energiju?","generator","motor","solarne ploče","turbina","3","6","true","800","2025-05-13 14:11:24.69553"
"102","Koji izvor energije se koristi za pogon vjetroturbina?","voda","sunčeva svjetlost","vjetar","zemna toplina","3","6","true","800","2025-05-13 14:11:27.109791"
"103","Koji se proces događa na Zemlji tijekom proljeća?","Listovi padaju s biljaka","Dan postaje kraći","Snijeg se topi","Noć postaje dulja","3","6","true","800","2025-05-13 14:13:10.070144"
"104","Što se događa s biljkama tijekom ljeta?","Gube ličike","Rastu i razvijaju se","Gube listove","Umiru","2","6","true","800","2025-05-13 14:13:14.3047"
"105","Koji se događaj događa tijekom jeseni?","Dani postaju dulji","Noć postaje kraće","Listovi mijenjaju boju","Snijeg se topi","3","6","true","800","2025-05-13 14:13:38.814052"
"106","Koji se proces događa tijekom zime?","Biljke rastu","Dani postaju kraći","Snijeg se topi","Listovi mijenjaju boji","2","6","true","800","2025-05-13 14:13:50.272156"
"107","Koji je glavni izvor energije za sve žive organizme na Zemlji?","Sunce","Voda","Zemlja","Zrak","1","6","true","784","2025-05-13 14:22:32.98328"
"108","Što se događa s biljkama kada nemaju dovoljno vode?","Rastu","Cvjetaju","Opadaju","Umiru","4","6","true","800","2025-05-13 14:22:50.369305"
"109","Koji dio Zemlje je najviše nastanjen?","Voda","Kopno","Zrak","Sunce","2","6","true","800","2025-05-13 14:24:11.840525"
"110","Vanjski sloj koji štiti naše tijelo","srce","koža","bubrezi","pluća","2","6","true","800","2025-05-13 14:27:05.007867"
"111","Pumpa krv kroz tijelo","jetra","crijeva","srce","koža","3","6","true","800","2025-05-13 14:27:26.486478"
"112","Stvara osjećaje i upravlja pokretima","srce","pluća","ruke","mozak","4","6","true","800","2025-05-13 14:28:04.468006"
"113","Životinje koje jedu samo hranu biljnog podrijetla nazivaju se","svežderi","mesožderi","biljožderi","glodavci","3","6","true","800","2025-05-13 14:30:39.702284"
"114","Životinje koje jedu samo hranu životinjskog podrijetla nazivaju se","mesožderi","biljožderi","svežderi","predatori","1","6","true","800","2025-05-13 14:31:20.31687"
"115","Životinje koje jedu hranu i biljnog i životinjskog podrijetla","svežderi","mesožderi","biljožderi","paraziti","1","6","true","800","2025-05-13 14:31:59.366674"
"116","Koja od ovih životinja nije domaća životinja","pas","mačka","kokoš","lav","4","6","true","800","2025-05-13 14:32:43.386732"
"117","Koja od ovih životinja ne pliva?","kornjača","žaba","patka","leptir","4","6","true","800","2025-05-13 14:33:28.480578"
"118","Koja od ovih ptica nije domaća životinja","puran","patka","orao","kokoš","3","6","true","800","2025-05-13 14:34:09.490585"
"119","Kada se sunce nalazi na istoku?","ujutro","u podne","posljepodne","navečer","1","6","true","800","2025-05-13 14:35:01.478792"
"120","Nasuprot sjeverozapadu je:","jugoistok","jugozapad","sjeveristok","sjeverojug","1","6","true","800","2025-05-13 14:35:39.482268"
"121","Izbaci uljeza","sjeveroistok","jugoistok","jugosjever","sjeverozapad","3","6","true","800","2025-05-13 14:36:08.059391"
"122","Kako se zove planina pored Zagreba?","Velebit","Papuk","Pakrac","Medvednica","4","6","true","800","2025-05-13 14:37:24.560567"
"123","Koje stoljeću pripada godina 1367.","14.st","15.st","13.st","12.st","1","6","true","800","2025-05-13 14:37:58.849524"
"124","Kojem stoljeću pripada godina 2017.?","22. st","20.st","21. st","17. st","3","6","true","800","2025-05-13 14:38:33.47203"
"125","Kojem tisućljeću pripada godina 2019.?","2 tisućljeću","3 tisućljeću","19 tisućljeću","21 tisućljeću","2","6","true","800","2025-05-13 14:39:26.537416"
"126","Kojem stoljeću pripada godina 1673.?","2 st.","17 st.","16 st.","12 st.","2","6","true","800","2025-05-13 15:33:23.291941"
"128","Zagrijavanjem voda iz tekućeg stanja prelazi u","vodu","led","vodenu paru","tekućinu","3","6","true","800","2025-05-13 15:34:34.177094"
"129","Kako se naziva skupina životinja koja dio svog života živi u vodi, a dio na kopnu?","vodozemci","gmazovi","ribe","sisavci","1","6","true","800","2025-05-13 15:35:40.547458"
"130","Što od navedenog spada u vode tekućice","jezero","rijeka","bara","more","2","6","true","800","2025-05-13 15:36:25.371713"
"131","Što od navedenog spada u vode tekućice","potok","ocean","bara","jezero","1","6","true","800","2025-05-13 15:36:48.987772"
"132","Što se događa s vodom kada se zagrijava iznad 100°C?","Smrzava se","Zagrijava se","Isparava","Ostaje ista","3","6","true","800","2025-05-13 15:39:13.688859"
"133","Koji je najmanji kontinent na Zemlji?","Afrika","Australija","Europa","Azija","2","6","true","800","2025-05-13 15:39:17.848159"
"134","Koji dio Zemlje je najmanje nastanjen?","Afrika","Antarktika","Europa","Azija","2","6","true","800","2025-05-13 15:39:22.143971"
"135","Koji dio Zemlje je najtopliji?","Polarna područja","Pustinje","Šume","Planine","2","6","true","800","2025-05-13 15:39:49.150525"
"136","Kako se zove rijeka koja teče kroz Zagreb?","Sava","Dunav","Drava","Kupa","1","6","true","800","2025-05-13 15:41:28.936188"
"137","Kojem stoljeću pripada godina 1850.?","18.","19.","20.","21.","2","6","true","800","2025-05-13 15:41:31.99701"
"138","Kojem tisućljeću pripada godina 2050.?","1.","2.","3.","21.","3","6","true","800","2025-05-13 15:41:40.728004"
"139","Kojem stoljeću pripada godina 1567.?","15. stoljeće","16. stoljeće","17. stoljeće","18. stoljeće","2","6","true","800","2025-05-13 15:42:04.149602"
"140","Koji je najviši vrh Medvednice?","Sljeme","Medvedgrad","Zagrebčica","Ivančica","1","6","true","800","2025-05-13 15:43:15.82988"
"141","Koji je naziv glavnog trga u Zagrebu?","Trg kralja Tomislava","Trg bana Josipa Jelačića ","Trg pape Ivana XXIII.","Trg Republike Hrvatske","2","6","true","800","2025-05-13 15:43:40.235085"
"142","Koji je najstariji dio Zagreba?","Gornji grad","Donji grad","Trnje","Šalata","1","6","true","800","2025-05-13 15:43:48.709728"
"143","Koliko je 456 + 278?","634","734","654","684","2","7","true","800","2025-05-14 16:15:02.853262"
"144","Koliko je 945 - 179?","766","756","786","816","1","7","true","784","2025-05-14 16:15:09.103953"
"145","Koliko je 5 × 9?","40","45","50","55","2","7","true","783","2025-05-14 16:15:10.390388"
"146","Koliko je 48 ÷ 6?","7","8","9","10","2","7","true","800","2025-05-14 16:15:16.049322"
"147","Koliko je A ako je 2 * A = 14?","5","6","7","8","3","7","true","800","2025-05-14 16:15:32.67296"
"148","Koliko je 567 - 219?","338","348","358","368","2","7","true","783","2025-05-14 16:16:25.262131"
"149","Koliko je 4 × 27?","100","108","112","116","2","7","true","800","2025-05-14 16:16:29.684213"
"150","Koliko je 90 ÷ 5?","15","16","17","18","4","7","true","834","2025-05-14 16:16:37.903934"
"151","Ako je 3 * A = 24, koliko je A?","6","7","8","9","1","7","true","782","2025-05-14 16:16:41.54781"
"152","Koliko je 945 + 75?","1010","1020","1030","1040","2","7","true","810","2025-05-14 16:16:54.119531"
"153","Koliko je 753 + 249?","992","1022","1002","1012","3","7","true","800","2025-05-14 16:17:06.646123"
"154","Koliko je 432 - 175?","257","267","277","287","1","7","true","800","2025-05-14 16:17:14.017575"
"155","Koliko je 9 × 8?","64","66","72","70","3","7","true","834","2025-05-14 16:17:26.479294"
"156","Ako je 2 * B = 18, koliko je B?","7","8","9","10","3","7","true","800","2025-05-14 16:17:32.845506"
"157","Koliko je 756 ÷ 7?","102","105","108","111","3","7","true","800","2025-05-14 16:17:41.626383"
"158","Koliko je 247 + 153?","390","400","375","350","2","7","true","800","2025-05-14 16:18:00.65156"
"159","Koliko je 563 - 219?","344","354","364","374","1","7","true","800","2025-05-14 16:18:07.507387"
"160","Koliko je 3 * 24?","60","70","72","80","3","7","true","800","2025-05-14 16:18:11.714297"
"161","Koliko je 96 ÷ 8?","10","12","11","9","2","7","true","800","2025-05-14 16:18:15.258358"
